Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006.0,Sports,Nintendo,6.441273166075167,5.387021440462252,1.9416487838947598,2.9086079144497976,9.096153033013461
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,5.392587505085105,1.8920887928424501,2.6095976701399777,0.8774964387392122,6.343500610861483
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,3.9812058474788765,3.588871688985272,1.9467922333931784,1.8193405398660252,5.984981202978001
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,3.968626966596886,3.3181320046074116,1.8110770276274832,1.7204650534085253,5.744562646538029
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,3.357082066318904,2.981610303175115,3.1968734726291563,1.0,5.600892785976178
6,Tetris,GB,1989.0,Puzzle,Nintendo,4.8166378315169185,1.5033296378372907,2.0542638584174138,0.7615773105863908,5.500909015790027
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,3.3734255586866,3.0380915061926625,2.5495097567963922,1.70293863659264,5.478138369920935
8,Wii Play,Wii,2006.0,Misc,Nintendo,3.7456641600656084,3.03315017762062,1.711724276862369,1.6881943016134133,5.387021440462252
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,3.819685850956856,2.6570660511172846,2.16794833886788,1.5033296378372907,5.349766350038102
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,5.189412298131649,0.7937253933193772,0.5291502622129182,0.6855654600401044,5.320714237769211
11,Nintendogs,DS,2005.0,Simulation,Nintendo,3.0116440692751194,3.3166247903554,1.3892443989449805,1.6583123951777,4.975942121849892
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,3.132091952673165,2.751363298439521,2.0322401432901573,1.3856406460551018,4.839421453025144
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,3.0,2.4859605789312105,2.6832815729997477,0.8426149773176358,4.806245936279167
14,Wii Fit,Wii,2007.0,Sports,Nintendo,2.9899832775452104,2.8337254630609507,1.8973665961010275,1.466287829861518,4.766550115125193
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,3.014962686336267,2.930870177950569,1.5905973720586866,1.3379088160259651,4.69041575982343
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,3.8691084244306206,2.222611077089287,0.4898979485566356,1.2922847983320085,4.671188285650665
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,2.6476404589747453,3.0446674695276656,0.9848857801796105,2.0346989949375804,4.626013402488151
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,3.0708305065568173,0.6324555320336759,0.6403124237432849,3.2511536414017717,4.561797891182818
19,Super Mario World,SNES,1990.0,Platform,Nintendo,3.5749125863438955,1.9364916731037085,1.8814887722226779,0.7416198487095663,4.539823785126467
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,2.179449471770337,3.043024810940588,2.039607805437114,1.4317821063276353,4.496665431183423
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,2.5337718918639855,2.1260291625469296,2.4576411454889016,1.1704699910719625,4.28485705712571
22,Super Mario Land,GB,1989.0,Platform,Nintendo,3.2908965343808667,1.6462077633154328,2.0445048300260873,0.648074069840786,4.259107887809371
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,3.0886890422961,1.8547236990991407,1.9595917942265424,0.6782329983125268,4.156921938165306
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,3.10322412983658,2.3043437243605824,0.2449489742783178,1.174734012447073,4.047221268969612
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,2.9,2.3430749027719964,0.6855654600401044,1.3341664064126333,4.018706259482023
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,2.4617067250182343,1.9748417658131499,2.3194827009486403,0.7071067811865476,3.9812058474788765
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,2.360084744241189,1.8110770276274832,2.3769728648009427,0.9055385138137416,3.9140771581561853
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,1.8547236990991407,2.3151673805580453,2.3065125189341593,1.0862780491200215,3.9115214431215892
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,2.6172504656604803,2.2561028345356955,1.3674794331177345,1.0770329614269007,3.8704004960727256
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,3.004995840263344,2.06881608655772,0.36055512754639896,1.1489125293076057,3.8418745424597094
